school,wins_2024,losses_2024,wins_2025,losses_2025,wins_2yr,losses_2yr,win_pct_2yr,record_rank,p4_wins,p4_losses,p4_win_pct,p4_rank,budget_low_millions,budget_high_millions,budget_mid_millions,budget_rank,gap_record,gap_p4
Indiana,11,2,16,0,27,2,0.931,1,21,2,0.913,1,36,40,38.0,4,+3,+3
Oregon,13,1,13,2,26,3,0.897,2,20,3,0.870,2,48,54,51.0,2,+0,+0
Ohio State,14,2,12,2,26,4,0.867,3,21,4,0.840,3,49,54,51.5,1,-2,-2
Illinois,10,3,9,4,19,7,0.731,4,14,8,0.636,4,19,23,21.0,15,+11,+11
Penn State,13,3,7,6,20,9,0.690,5,14,9,0.609,5,29,32,30.5,7,+2,+2
Iowa,8,5,9,4,17,9,0.654,6,13,9,0.591,6,17,21,19.0,17,+11,+11
Michigan,8,5,9,4,17,9,0.654,7,13,9,0.591,7,36,40,38.0,5,-2,-2
Minnesota,8,5,8,5,16,10,0.615,8,11,8,0.579,8,18,22,20.0,16,+8,+8
USC,7,6,9,4,16,10,0.615,9,13,10,0.565,9,37,40,38.5,3,-6,-6
Washington,6,7,9,4,15,11,0.577,10,9,10,0.474,10,21,25,23.0,13,+3,+3
Nebraska,7,6,7,6,14,12,0.538,11,10,12,0.455,11,31,35,33.0,6,-5,-5
Rutgers,7,6,5,7,12,13,0.480,12,7,13,0.350,13,20,23,21.5,14,+2,+1
Northwestern,4,8,7,6,11,14,0.440,13,7,11,0.389,12,21,25,23.0,12,-1,+0
Michigan St.,5,7,4,8,9,15,0.375,14,5,15,0.250,15,21,25,23.0,11,-3,-4
Wisconsin,5,7,4,8,9,15,0.375,15,5,15,0.250,16,27,31,29.0,8,-7,-8
Maryland,4,8,4,8,8,16,0.333,16,3,16,0.158,17,21,25,23.0,10,-6,-7
UCLA,5,7,3,9,8,16,0.333,17,6,13,0.316,14,26,30,28.0,9,-8,-5
Purdue,1,11,2,10,3,21,0.125,18,0,20,0.000,18,16,20,18.0,18,+0,+0
