school,conference,budget_low_millions,budget_high_millions,budget_mid_millions,ap_rank_2026_09_13
Texas,SEC,45,55,50.0,1
LSU,SEC,47,50,48.5,7
Texas A&M,SEC,45,50,47.5,9
Ole Miss,SEC,39,45,42.0,8
Tennessee,SEC,41,43,42.0,15
Alabama,SEC,38,42,40.0,10
Florida,SEC,31,41,36.0,
South Carolina,SEC,32,35,33.5,
Auburn,SEC,31,35,33.0,
Georgia,SEC,31,34,32.5,2
Oklahoma,SEC,28,34,31.0,24
Missouri,SEC,27,30,28.5,20
Mississippi St.,SEC,25,30,27.5,
Vanderbilt,SEC,25,28,26.5,
Kentucky,SEC,23,26,24.5,
Arkansas,SEC,22,25,23.5,
Ohio State,Big Ten,49,54,51.5,6
Oregon,Big Ten,48,54,51.0,21
USC,Big Ten,37,40,38.5,12
Indiana,Big Ten,36,40,38.0,4
Michigan,Big Ten,36,40,38.0,19
Nebraska,Big Ten,31,35,33.0,
Penn State,Big Ten,29,32,30.5,14
Wisconsin,Big Ten,27,31,29.0,
UCLA,Big Ten,26,30,28.0,
Maryland,Big Ten,21,25,23.0,
Michigan St.,Big Ten,21,25,23.0,
Northwestern,Big Ten,21,25,23.0,
Washington,Big Ten,21,25,23.0,
Rutgers,Big Ten,20,23,21.5,
Illinois,Big Ten,19,23,21.0,
Minnesota,Big Ten,18,22,20.0,
Iowa,Big Ten,17,21,19.0,18
Purdue,Big Ten,16,20,18.0,
Miami,ACC,44,50,47.0,5
Clemson,ACC,29,32,30.5,
Virginia Tech,ACC,25,30,27.5,
Florida State,ACC,23,30,26.5,
Georgia Tech,ACC,23,26,24.5,
NC State,ACC,22,26,24.0,
Louisville,ACC,22,25,23.5,23
North Carolina,ACC,20,25,22.5,
California,ACC,20,24,22.0,
Virginia,ACC,20,24,22.0,25
SMU,ACC,21,23,22.0,16
Syracuse,ACC,17,22,19.5,
Pitt,ACC,16,20,18.0,
Stanford,ACC,16,20,18.0,
Wake Forest,ACC,16,20,18.0,
Duke,ACC,12,15,13.5,
Boston College,ACC,8,13,10.5,
Texas Tech,Big 12,38,42,40.0,13
TCU,Big 12,22,25,23.5,
BYU,Big 12,20,25,22.5,11
Baylor,Big 12,20,23,21.5,
Arizona State,Big 12,19,23,21.0,
Kansas State,Big 12,19,22,20.5,
Utah,Big 12,18,22,20.0,17
West Virginia,Big 12,18,22,20.0,
Colorado,Big 12,18,21,19.5,
UCF,Big 12,15,20,17.5,
Houston,Big 12,15,19,17.0,22
Oklahoma St.,Big 12,15,19,17.0,
Kansas,Big 12,15,17,16.0,
Arizona,Big 12,13,18,15.5,
Iowa State,Big 12,13,17,15.0,
Cincinnati,Big 12,14,16,15.0,
Notre Dame,Independent,41,48,44.5,3
