year,teams,games,total_attendance,attendance_per_game,note
1970,24,1944,28747333,14787,
1971,24,1938,29193417,15063,
1972,24,1859,26968268,14506,"strike, 86 games lost"
1973,24,1943,30108926,15496,
1974,24,1945,30025608,15437,
1975,24,1934,29789913,15403,
1976,24,1939,31318331,16151,
1977,26,2103,38709779,18406,
1978,26,2102,40636886,19332,
1979,26,2099,43550398,20748,
1980,26,2105,43014136,20434,
1981,26,1394,26544376,19041,"strike, 712 games lost"
1982,26,2107,44587874,21161,
1983,26,2109,45540338,21593,
1984,26,2105,44742863,21255,
1985,26,2103,46824379,22265,
1986,26,2103,47506203,22589,
1987,26,2105,52011506,24708,
1988,26,2100,52998904,25237,
1989,26,2106,55173096,26198,
1990,26,2105,54823768,26044,
1991,26,2104,56813760,27002,
1992,26,2106,55870466,26529,
1993,28,2269,70257938,30964,
1994,28,1600,50010016,31256,strike began August 12; World Series canceled
1995,28,2017,50469236,25021,strike ended April 2; season shortened to 144 games
1996,28,2267,60097381,26509,
1997,28,2266,63168689,27876,
1998,30,2432,70601147,29030,
1999,30,2428,70139380,28887,
2000,30,2429,71358907,29377,
2001,30,2429,72581101,29881,
2002,30,2426,67944389,28006,
2003,30,2430,67630052,27831,
2004,30,2428,73022972,30075,
2005,30,2431,74915268,30816,
2006,30,2429,76043902,31306,
2007,30,2431,79484718,32696,
2008,30,2428,78624315,32382,
2009,30,2430,73430580,30218,
2010,30,2430,73061763,30066,
2011,30,2429,73425667,30228,
2012,30,2430,74859268,30806,
2013,30,2431,74027037,30451,
2014,30,2430,73739622,30345,
2015,30,2429,73719340,30349,
2016,30,2428,73159044,30131,
2017,30,2430,72678797,29908,
2018,30,2431,69671272,28659,
2019,30,2429,68506896,28203,
2021,30,2429,45304109,18651,COVID-limited capacity in early season
2022,30,2430,64556658,26566,"99-day lockout, no regular-season games lost"
2023,30,2430,70747365,29114,
2024,30,2429,71348405,29373,
2025,30,2430,71409522,29386,
2026,30,2373,69909317,29460,
