school,conference,share_type,conference_payout_2024_25,roster_budget_low_millions,roster_budget_high_millions,roster_budget_mid_millions,roster_pct_of_payout,payout_notes
Miami,ACC,full,48250645,44,50,47.0,0.974,""
Notre Dame,ACC,partial_independent,18142243,41,48,44.5,2.453,"ACC member outside football; NBC football revenue is paid directly and never appears here"
Clemson,ACC,full,55129046,29,32,30.5,0.553,""
Virginia Tech,ACC,full,46546737,25,30,27.5,0.591,""
Florida State,ACC,full,43601179,23,30,26.5,0.608,""
Georgia Tech,ACC,full,46052588,23,26,24.5,0.532,""
NC State,ACC,full,46461278,22,26,24.0,0.517,""
Louisville,ACC,full,47381878,22,25,23.5,0.496,""
North Carolina,ACC,full,47916855,20,25,22.5,0.470,""
California,ACC,partial,22993712,20,24,22.0,0.957,"33% share of media rights under entry agreement"
SMU,ACC,media_forgone,17065303,21,23,22.0,1.289,"Forgoes all ACC media revenue for nine years; non-media revenue flows normally"
Virginia,ACC,full,43626888,20,24,22.0,0.504,""
Syracuse,ACC,full,49448990,17,22,19.5,0.394,""
Pitt,ACC,full,46304685,16,20,18.0,0.389,""
Stanford,ACC,partial,19557463,16,20,18.0,0.920,"33% share of media rights under entry agreement"
Wake Forest,ACC,full,42814168,16,20,18.0,0.420,""
Duke,ACC,full,48236296,12,15,13.5,0.280,""
Boston College,ACC,full,47087682,8,13,10.5,0.223,""
Texas Tech,Big 12,full,39734106,38,42,40.0,1.007,""
TCU,Big 12,full,39272007,22,25,23.5,0.598,""
BYU,Big 12,partial,23110622,20,25,22.5,0.974,"Entry-agreement share; full share begins 2025-26"
Baylor,Big 12,full,39950085,20,23,21.5,0.538,""
Arizona State,Big 12,full,43009550,19,23,21.0,0.488,"Full share in first Big 12 year"
Kansas State,Big 12,full,39830544,19,22,20.5,0.515,""
Utah,Big 12,full,37879865,18,22,20.0,0.528,"Full share in first Big 12 year"
West Virginia,Big 12,full,39582600,18,22,20.0,0.505,""
Colorado,Big 12,full,39034422,18,21,19.5,0.500,"Full share in first Big 12 year"
UCF,Big 12,partial,19978520,15,20,17.5,0.876,"Entry-agreement share; full share begins 2025-26"
Houston,Big 12,partial,19881951,15,19,17.0,0.855,"Entry-agreement share; full share begins 2025-26"
Oklahoma St.,Big 12,full,38038756,15,19,17.0,0.447,""
Kansas,Big 12,full,38312680,15,17,16.0,0.418,""
Arizona,Big 12,full,38009311,13,18,15.5,0.408,"Full share in first Big 12 year"
Cincinnati,Big 12,partial,20211539,14,16,15.0,0.742,"Entry-agreement share; full share begins 2025-26"
Iowa State,Big 12,full,41194426,13,17,15.0,0.364,""
Ohio State,Big Ten,full,91552082,49,54,51.5,0.563,""
Oregon,Big Ten,partial,48416125,48,54,51.0,1.053,"Partial share through 2030 under entry agreement"
USC,Big Ten,full,78057558,37,40,38.5,0.493,"First Big Ten year"
Indiana,Big Ten,full,81009897,36,40,38.0,0.469,""
Michigan,Big Ten,full,79426201,36,40,38.0,0.478,""
Nebraska,Big Ten,full,79876965,31,35,33.0,0.413,""
Penn State,Big Ten,full,88921162,29,32,30.5,0.343,""
Wisconsin,Big Ten,full,77779047,27,31,29.0,0.373,""
UCLA,Big Ten,full,76011658,26,30,28.0,0.368,"First Big Ten year"
Maryland,Big Ten,full,76028091,21,25,23.0,0.303,""
Michigan St.,Big Ten,full,77866363,21,25,23.0,0.295,""
Northwestern,Big Ten,full,77510197,21,25,23.0,0.297,""
Washington,Big Ten,partial,46708168,21,25,23.0,0.492,"Partial share through 2030 under entry agreement"
Rutgers,Big Ten,full,78490746,20,23,21.5,0.274,""
Illinois,Big Ten,full,79100242,19,23,21.0,0.265,""
Minnesota,Big Ten,full,79199226,18,22,20.0,0.253,""
Iowa,Big Ten,full,79071495,17,21,19.0,0.240,""
Purdue,Big Ten,full,77732782,16,20,18.0,0.232,""
Texas,SEC,transition,12113287,45,55,50.0,4.128,"No media rights distribution in first full SEC year under entry agreement"
LSU,SEC,full,72391720,47,50,48.5,0.670,""
Texas A&M,SEC,full,72899870,45,50,47.5,0.652,""
Ole Miss,SEC,full,73076485,39,45,42.0,0.575,""
Tennessee,SEC,full,73587225,41,43,42.0,0.571,""
Alabama,SEC,full,72792940,38,42,40.0,0.550,""
Florida,SEC,full,72068145,31,41,36.0,0.500,""
South Carolina,SEC,full,72741821,32,35,33.5,0.461,""
Auburn,SEC,full,70802740,31,35,33.0,0.466,""
Georgia,SEC,full,74458940,31,34,32.5,0.436,""
Oklahoma,SEC,transition,2575481,28,34,31.0,12.037,"No media rights distribution in first full SEC year under entry agreement"
Missouri,SEC,full,72855455,27,30,28.5,0.391,""
Mississippi St.,SEC,full,70342415,25,30,27.5,0.391,""
Vanderbilt,SEC,full,71492110,25,28,26.5,0.371,""
Kentucky,SEC,full,70485750,23,26,24.5,0.348,""
Arkansas,SEC,full,73083520,22,25,23.5,0.322,""
