g,date,bop,pa,ab,r,h,d,t,hr,rbi,sb,cs,bb,so,hbp,sf,sh
1,2026-03-26,4,5,5,0,2,0,0,0,2,0,0,0,2,0,0,0
2,2026-03-28,4,5,4,2,2,0,0,0,0,2,0,1,1,0,0,0
3,2026-03-29,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2026-03-30,4,4,3,2,1,0,0,0,0,0,0,1,1,0,0,0
5,2026-03-31,4,4,3,0,0,0,0,0,0,0,0,0,2,0,0,1
6,2026-04-01,8,4,4,0,1,0,0,0,1,0,0,0,2,0,0,0
7,2026-04-03,8,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0
8,2026-04-05,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0
9,2026-04-05,8,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2026-04-06,8,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0
11,2026-04-07,4,5,5,3,3,0,0,1,1,1,1,0,0,0,0,0
12,2026-04-08,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
13,2026-04-10,6,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
14,2026-04-11,6,5,4,0,1,0,0,0,0,0,0,1,3,0,0,0
15,2026-04-12,7,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0
16,2026-04-13,8,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0
17,2026-04-14,8,5,4,2,2,1,0,0,0,0,0,0,1,1,0,0
18,2026-04-15,8,4,4,1,2,0,0,0,0,0,1,0,1,0,0,0
19,2026-04-17,8,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0
20,2026-04-18,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2026-04-19,8,4,3,1,1,0,1,0,0,0,1,0,1,1,0,0
22,2026-04-20,8,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0
23,2026-04-21,9,5,5,0,2,0,0,0,0,0,0,0,1,0,0,0
24,2026-04-22,9,4,4,0,3,1,0,0,2,1,0,0,1,0,0,0
25,2026-04-23,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0
26,2026-04-24,8,4,3,2,1,0,0,0,0,0,0,1,1,0,0,0
27,2026-04-25,8,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0
28,2026-04-26,9,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0
29,2026-04-27,9,4,3,0,1,0,0,0,0,1,0,1,1,0,0,0
30,2026-04-28,8,5,4,2,1,0,0,1,3,0,0,1,2,0,0,0
31,2026-04-29,8,4,4,1,1,0,0,1,3,0,0,0,1,0,0,0
32,2026-05-01,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
33,2026-05-02,6,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0
34,2026-05-03,8,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0
35,2026-05-04,8,4,4,1,1,0,1,0,0,0,0,0,1,0,0,0
36,2026-05-05,9,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0
37,2026-05-06,8,4,3,1,2,0,0,1,2,0,0,0,0,1,0,0
38,2026-05-07,8,4,3,1,1,0,0,0,1,1,0,1,0,0,0,0
39,2026-05-08,8,4,4,0,2,1,0,0,1,1,0,0,1,0,0,0
40,2026-05-09,8,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
41,2026-05-10,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2026-05-12,9,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0
43,2026-05-13,8,4,3,0,0,0,0,0,0,1,0,1,1,0,0,0
44,2026-05-14,9,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0
45,2026-05-15,8,5,5,0,1,0,0,0,1,0,0,0,2,0,0,0
46,2026-05-16,8,4,3,1,1,0,0,1,2,0,0,1,1,0,0,0
47,2026-05-17,8,5,3,0,0,0,0,0,0,1,0,0,0,2,0,0
48,2026-05-18,8,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0
49,2026-05-19,8,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0
50,2026-05-20,9,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0
51,2026-05-22,8,4,2,1,1,0,0,1,2,0,0,2,0,0,0,0
52,2026-05-23,1,4,4,0,1,0,0,0,0,0,1,0,2,0,0,0
53,2026-05-24,1,5,1,1,0,0,0,0,1,0,0,3,0,0,1,0
54,2026-05-25,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2026-05-26,1,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0
56,2026-05-27,1,6,5,1,1,1,0,0,1,0,0,1,3,0,0,0
57,2026-05-28,1,5,4,1,1,0,0,0,0,0,0,1,2,0,0,0
58,2026-05-29,1,5,5,1,1,1,0,0,0,0,0,0,2,0,0,0
59,2026-05-30,1,6,5,2,4,1,0,1,2,0,0,0,1,1,0,0
60,2026-05-31,2,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
61,2026-06-02,2,4,4,0,2,0,0,0,0,0,1,0,0,0,0,0
62,2026-06-03,2,5,5,1,1,0,0,1,2,0,0,0,2,0,0,0
63,2026-06-04,1,5,4,1,2,0,0,1,2,1,0,0,2,1,0,0
64,2026-06-05,2,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0
65,2026-06-06,1,5,5,2,4,0,0,2,2,0,0,0,0,0,0,0
66,2026-06-07,1,5,5,0,1,0,0,0,0,1,0,0,2,0,0,0
67,2026-06-09,1,5,4,0,0,0,0,0,0,0,0,1,3,0,0,0
68,2026-06-10,1,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0
69,2026-06-11,1,5,5,2,2,1,0,0,0,1,0,0,0,0,0,0
70,2026-06-12,1,4,4,0,1,1,0,0,0,0,0,0,1,0,0,0
71,2026-06-13,1,5,5,2,3,1,0,1,1,0,0,0,2,0,0,0
72,2026-06-14,1,4,4,0,2,0,0,0,0,1,0,0,1,0,0,0
73,2026-06-15,1,5,4,1,4,1,1,1,2,0,0,0,0,0,1,0
74,2026-06-16,1,5,5,1,1,0,0,1,1,0,0,0,2,0,0,0
75,2026-06-17,1,5,4,1,1,0,0,1,1,0,0,1,1,0,0,0
